ZDB-FISH-000215-8,Necrotic death in head. There are several other phenotypes that cosegregate but are unmapped.
ZDB-FISH-980202-1127,Phenotypic class: retinotectal projection; Visible at: d5; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1128,Phenotypic class: retinotectal projection; Visible at: d5; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1129,Phenotypic class: notochord; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-113,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1130,Phenotypic class: retinotectal projection; Visible at: d5; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1131,Phenotypic class: brain; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1132,Phenotypic class: brain; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1133,Phenotypic class: brain; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1134,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1135,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1136,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1137,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1138,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1139,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-114,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1140,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1141,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1142,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1143,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1144,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1145,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1146,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1147,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1148,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1149,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-115,Phenotypic class: early arrest; Visible at: 20-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1150,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1151,Phenotypic class: retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1152,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1153,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1154,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1155,Phenotypic class: notochord} brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1156,Phenotypic class: somites; Visible at: 6-somite; Viability: adult viable
ZDB-FISH-980202-1157,Phenotypic class: somites; Visible at: 6-somite; Viability: adult viable
ZDB-FISH-980202-1158,Phenotypic class: melanophores} xanthophores} iridophores} ear} eye; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1159,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-116,Phenotypic class: tail; Visible at: 15-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1160,Phenotypic class: melanophores} xanthophores} iridophores} ear} eye; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1161,Phenotypic class: xanthophores; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1162,Phenotypic class: xanthophores; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1163,Phenotypic class: xanthophores; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1164,Phenotypic class: xanthophores; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1165,Phenotypic class: retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1166,Phenotypic class: retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1167,Phenotypic class: retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1168,Phenotypic class: retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1169,Phenotypic class: retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1170,Phenotypic class: retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1171,Phenotypic class: motility} muscles; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1172,Phenotypic class: arches} fin} retinotectal pathfinding; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1173,Phenotypic class: motility; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1174,Phenotypic class: motility; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1175,Phenotypic class: motility; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1176,Phenotypic class: arches} fin} retinotectal pathfinding; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1177,Phenotypic class: arches} fin} retinotectal pathfinding; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1178,Phenotypic class: arches} fin} retinotectal pathfinding; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1179,Phenotypic class: arches} fin} retinotectal pathfinding; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1180,Phenotypic class: arches} fin} retinotectal pathfinding; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1181,Phenotypic class: arches} fin} retinotectal pathfinding; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1182,Phenotypic class: eye; Visible at: d4; Viability: adult viable
ZDB-FISH-980202-1183,Phenotypic class: eye; Visible at: d4; Viability: adult viable
ZDB-FISH-980202-1184,Phenotypic class: motility} muscles; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1185,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1186,Phenotypic class: notochord} brain; Visible at: 15-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1187,Phenotypic class: ear; Visible at: d1; Viability: adult semiviable
ZDB-FISH-980202-1188,Phenotypic class: xanthophores} iridophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1189,Phenotypic class: melanophores} xanthophores} iridophores} ear; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1190,Phenotypic class: melanophores} xanthophores} iridophores} ear; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1191,Phenotypic class: iridophores} xanthophores; Visible at: d2; Viability: adult semiviable
ZDB-FISH-980202-1192,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1193,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1194,Phenotypic class: neural tube} eye; Visible at: 10-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1195,Phenotypic class: fin} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1196,Phenotypic class: fin} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1197,Phenotypic class: skin} fin; Visible at: 12-somite; Viability: adult viable
ZDB-FISH-980202-1198,Phenotypic class: skin} fin; Visible at: 12-somite; Viability: adult viable
ZDB-FISH-980202-1199,Phenotypic class: skin} fin; Visible at: 12-somite; Viability: adult viable
ZDB-FISH-980202-1200,Phenotypic class: somites; Visible at: 10-somite; Viability: adult semiviable
ZDB-FISH-980202-1201,Phenotypic class: somites; Visible at: 10-somite; Viability: adult semiviable
ZDB-FISH-980202-1202,Phenotypic class: somites; Visible at: 10-somite; Viability: adult semiviable
ZDB-FISH-980202-1203,Phenotypic class: somites; Visible at: 10-somite; Viability: adult semiviable
ZDB-FISH-980202-1204,Phenotypic class: somites; Visible at: 10-somite; Viability: adult semiviable
ZDB-FISH-980202-1205,Phenotypic class: somites; Visible at: 10-somite; Viability: adult semiviable
ZDB-FISH-980202-1206,Phenotypic class: somites; Visible at: 10-somite; Viability: adult semiviable
ZDB-FISH-980202-1207,Phenotypic class: somites; Visible at: 10-somite; Viability: adult semiviable
ZDB-FISH-980202-1208,Phenotypic class: neural tube} curly tail} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1209,Phenotypic class: neural tube} curly tail} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1210,Phenotypic class: body axes; Visible at: 5-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1211,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1212,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1213,Phenotypic class: notochord; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1214,Phenotypic class: notochord; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1215,Phenotypic class: xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1216,Phenotypic class: xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1217,Phenotypic class: xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1218,Phenotypic class: xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1219,Phenotypic class: xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-122,Recessive maternal-effect mutation.
ZDB-FISH-980202-1220,Phenotypic class: xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1221,Phenotypic class: xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1222,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1223,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1224,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1225,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1226,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1227,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1228,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1229,Phenotypic class: xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-123,Phenotypic class: heart; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1230,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1231,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1232,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1233,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1234,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1235,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1236,Phenotypic class: ear; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1237,Phenotypic class: xanthophores} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1238,Phenotypic class: xanthophores} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1239,Phenotypic class: xanthophores} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-124,Phenotypic class: motility; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1240,Phenotypic class: xanthophores} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1241,Phenotypic class: xanthophores} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1242,Phenotypic class: xanthophores} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1243,Phenotypic class: xanthophores} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1244,Phenotypic class: xanthophores} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1245,Phenotypic class: xanthophores} retinotectal projection; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1246,Phenotypic class: melanophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1247,Phenotypic class: melanophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1248,Phenotypic class: arches} brain; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1249,Phenotypic class: arches} brain; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1250,Phenotypic class: arches} brain; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1251,Phenotypic class: arches} brain; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1252,Phenotypic class: notochord} somites; Visible at: 1-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1253,Phenotypic class: fin; Visible at: d1; Viability: adult semiviable
ZDB-FISH-980202-1254,Phenotypic class: fin; Visible at: d1; Viability: adult semiviable
ZDB-FISH-980202-1255,Phenotypic class: fin; Visible at: d1; Viability: adult semiviable
ZDB-FISH-980202-1256,Phenotypic class: blood; Visible at: d2-d4; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1257,Phenotypic class: fin; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1258,Phenotypic class: fin; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1259,Phenotypic class: fin; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1260,Phenotypic class: fin; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1261,Phenotypic class: fin; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1262,Phenotypic class: fin; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1263,Phenotypic class: somites; Visible at: 2-somite; Viability: adult viable
ZDB-FISH-980202-1264,Phenotypic class: arches; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1265,Phenotypic class: early arrest; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1266,Phenotypic class: early arrest; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1267,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1268,Phenotypic class: blood; Visible at: d2; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1269,Phenotypic class: blood; Visible at: d2; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1270,Phenotypic class: notochord} brain; Visible at: 15-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1271,Phenotypic class: notochord} brain; Visible at: 15-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1272,Phenotypic class: notochord} brain; Visible at: 15-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1273,Phenotypic class: notochord} brain; Visible at: 15-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1274,Phenotypic class: notochord} brain; Visible at: 15-somite; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1275,Phenotypic class: arches} jaw; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1276,Phenotypic class: arches; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1277,Phenotypic class: arches; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1278,Phenotypic class: arches; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1279,Phenotypic class: arches; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1280,Phenotypic class: notochord; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1281,Phenotypic class: notochord; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1282,Phenotypic class: notochord; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1283,Phenotypic class: notochord; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1284,Phenotypic class: arches} jaw; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1285,Phenotypic class: arches} jaw; Visible at: d3; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1286,Phenotypic class: motility; Visible at: d2.
ZDB-FISH-980202-1287,Phenotypic class: blood.
ZDB-FISH-980202-1288,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1289,Phenotypic class: neural tube} somites; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1290,Phenotypic class: iridophores} melanophores; Visible at: d4; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1291,Phenotypic class: ear; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1292,Phenotypic class: ear; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1293,Phenotypic class: adult; Viability: adult viable
ZDB-FISH-980202-1294,Phenotypic class: adult; Viability: adult viable
ZDB-FISH-980202-1295,Phenotypic class: adult; Viability: adult viable
ZDB-FISH-980202-1296,Phenotypic class: lens} ear} fin; Visible at: d4; Viability: adult viable
ZDB-FISH-980202-1297,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1298,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1299,Phenotypic class: fin; Visible at: tailbud; Viability: adult viable
ZDB-FISH-980202-1300,Phenotypic class: xanthophores} iridophores} eyes; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1301,Phenotypic class: xanthophores} iridophores} eyes; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1302,Phenotypic class: blood} iridophores} pigment pattern; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1303,Phenotypic class: blood} iridophores} pigment pattern; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1304,Phenotypic class: blood} iridophores} pigment pattern; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1305,Phenotypic class: blood} iridophores} pigment pattern; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1306,Phenotypic class: blood} iridophores} pigment pattern; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1307,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1308,Phenotypic class: blood} iridophores} pigment pattern; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1309,Phenotypic class: blood} iridophores} pigment pattern; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1310,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1311,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1312,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1313,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1314,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1315,Phenotypic class: melanophores; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1316,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1317,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1318,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1319,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1320,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1321,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1322,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1323,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1324,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1325,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1326,Phenotypic class: brain} heart; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1327,Phenotypic class: retinotectal projection} motility; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1328,Phenotypic class: brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1329,Phenotypic class: xanthophores} adult; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1330,Phenotypic class: brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1331,Phenotypic class: brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1332,Phenotypic class: brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1333,Phenotypic class: melanophores} xanthophores; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1334,Phenotypic class: brain} retinotectal projection; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1335,Phenotypic class: notochord} somites; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1336,Phenotypic class: notochord} somites; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1337,Phenotypic class: melanophores; Visible at: d5; Viability: embryonic viable (swb+)
ZDB-FISH-980202-1338,Phenotypic class: adult; Viability: adult viable
ZDB-FISH-980202-1339,Phenotypic class: adult; Viability: adult viable
ZDB-FISH-980202-1340,Phenotypic class: brain; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1341,Phenotypic class: brain; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1342,Phenotypic class: brain; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1343,Phenotypic class: brain; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1344,Phenotypic class: pigment pattern; Visible at: d3; Viability: adult viable
ZDB-FISH-980202-1345,Phenotypic class: melanophores} iridophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1346,Phenotypic class: xanthophores} adult; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1347,Phenotypic class: xanthophores} adult; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1348,Phenotypic class: xanthophores} adult; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1349,Phenotypic class: xanthophores} adult; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1350,Phenotypic class: xanthophores} adult; Visible at: d2; Viability: adult viable
ZDB-FISH-980202-1351,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1352,Phenotypic class: tail; Visible at: tailbud; Viability: embryonic lethal (swb-). In some the ventral tail vein and fin are missing. In others only the ventral tail fin is missing.
ZDB-FISH-980202-1353,Phenotypic class: tail; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1354,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1355,Phenotypic class: tail; Visible at: tailbud; Viability: embryonic lethal (swb-). In some the tail is present but shortened and twisted.
ZDB-FISH-980202-1356,Phenotypic class: tail; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1357,Phenotypic class: tail; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1358,Phenotypic class: melanophores} iridophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1359,Phenotypic class: melanophores} iridophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1360,Phenotypic class: melanophores} iridophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1361,Phenotypic class: melanophores} iridophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1362,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1363,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1364,Phenotypic class: fin; Visible at: d1; Viability: adult viable
ZDB-FISH-980202-1365,Phenotypic class: motility} muscles; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1366,Phenotypic class: tail; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1367,Phenotypic class: tail; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1368,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1369,Phenotypic class: curly tail; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1370,Phenotypic class: tail; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1371,Phenotypic class: tail; Visible at: tailbud; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1372,Phenotypic class: xanthophores} iridophores} eyes; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1373,Phenotypic class: xanthophores} iridophores} eyes; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1374,Phenotypic class: xanthophores} iridophores} eyes; Visible at: d2; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1375,Phenotypic class: iridophores} melanophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1376,Phenotypic class: iridophores} melanophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1377,Phenotypic class: iridophores} melanophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1378,Phenotypic class: xanthophores; Visible at: d3; Viability: adult viable
ZDB-FISH-980202-1379,Phenotypic class: xanthophores; Visible at: d3; Viability: adult viable
ZDB-FISH-980202-1380,Phenotypic class: xanthophores; Visible at: d3; Viability: adult viable
ZDB-FISH-980202-1381,Phenotypic class: xanthophores; Visible at: d3; Viability: adult viable
ZDB-FISH-980202-1382,Phenotypic class: xanthophores; Visible at: d3; Viability: adult viable
ZDB-FISH-980202-1383,Phenotypic class: notochord} melanophores; Visible at: d1; Viability: embryonic lethal (swb-)
ZDB-FISH-980202-1384,Phenotypic class: notochord} melanophores; Visible at: d1; Viability: embryonic lethal (swb-)
