ZDB-FISH-060608-1,t30230,;Adult: behavior (abnormal); drug resistance (abnormal); ,,"Assay: Amphetamine<br>Description: <br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-960805-39"">Laure Bally-Cuif</a> / <a href=""ZFIN_jump?record=ZDB-PERS-020116-15"">Jovica Ninkovic</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31461,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: short in body length; 7dpf: 6/28 short\"";"" show delay in development <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: short in body length; 7dpf: 6/28 short\"";"" show delay in development<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31462,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"7dpf: 4/27 short in body length\"";"" show delay in development <b>Details:</b>","Assay: Satellite cells<br>Description: 7dpf: 4/27 short in body length\"";"" show delay in development<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31463,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"7dpf: 4/29 short in body length\"";"" show delay in development <b>Details:</b>","Assay: Satellite cells<br>Description: 7dpf: 4/29 short in body length\"";"" show delay in development<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31464,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"6dpf: 4/27 short\"";"" 2/27 additionally very short in body length <b>Details:</b>","Assay: Satellite cells<br>Description: 6dpf: 4/27 short\"";"" 2/27 additionally very short in body length<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31465,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"2/20 short\"";"" 2/20 additionally very short in body length <b>Details:</b>","Assay: Satellite cells<br>Description: 2/20 short\"";"" 2/20 additionally very short in body length<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31466,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"06: 6dpf 3/18 short\"";"" 1/18 additionally very short in body length; 10: 6dpf 4/20 short in body length\"";"" oedema\"";"" curly (not visible at 3dpf) <b>Details:</b>","Assay: Satellite cells<br>Description: 06: 6dpf 3/18 short\"";"" 1/18 additionally very short in body length; 10: 6dpf 4/20 short in body length\"";"" oedema\"";"" curly (not visible at 3dpf)<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31467,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"7/21 short in body length\"";"" 4/7 delayed in development <b>Details:</b>","Assay: Satellite cells<br>Description: 7/21 short in body length\"";"" 4/7 delayed in development<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31468,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: short in body length; 7dpf: short in body length\"";"" curly (phenotype not visible at 3dpf) <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: short in body length; 7dpf: short in body length\"";"" curly (phenotype not visible at 3dpf)<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31469,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"6dpf: 4/18 short\"";"" 1/4 very short in body length\"";"" might have delay in development <b>Details:</b>","Assay: Satellite cells<br>Description: 6dpf: 4/18 short\"";"" 1/4 very short in body length\"";"" might have delay in development<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31470,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"6dpf: 1/15 short in body length\"";"" 4/15 curly (phenotype not visible at 3dpf) <b>Details:</b>","Assay: Satellite cells<br>Description: 6dpf: 1/15 short in body length\"";"" 4/15 curly (phenotype not visible at 3dpf)<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31471,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"6dpf: 4/24 short\"";"" 1/4 very short in body length <b>Details:</b>","Assay: Satellite cells<br>Description: 6dpf: 4/24 short\"";"" 1/4 very short in body length<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31472,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"6dpf: 4/17 short in body length\"";"" 1/4 curly <b>Details:</b>","Assay: Satellite cells<br>Description: 6dpf: 4/17 short in body length\"";"" 1/4 curly<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31473,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"6dpf: weakly curly\"";"" short in body length <b>Details:</b>","Assay: Satellite cells<br>Description: 6dpf: weakly curly\"";"" short in body length<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31512,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: 5/28 short in body length\"";"" no other morphological phenotype; no satellite cells <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: 5/28 short in body length\"";"" no other morphological phenotype; no satellite cells<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31513,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,3dpf: no phenotype; 7dpf: 3/22 (cross 08) or 3/15 (cross01) tail deformed <b>Details:</b>,"Assay: Satellite cells<br>Description: 3dpf: no phenotype; 7dpf: 3/22 (cross 08) or 3/15 (cross01) tail deformed<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31514,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"7/26 short in body length (2/7 very short)\"";"" 14/26 without swim bladder\"";"" 7/7 without swim bladder <b>Details:</b>","Assay: Satellite cells<br>Description: 7/26 short in body length (2/7 very short)\"";"" 14/26 without swim bladder\"";"" 7/7 without swim bladder<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31515,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: 3/17 small eyes\"";"" very short; less satellite cells <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: 3/17 small eyes\"";"" very short; less satellite cells<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31516,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: 5/30 short in body length\"";"" brain defects\"";"" no satellite cells <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: 5/30 short in body length\"";"" brain defects\"";"" no satellite cells<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31517,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: smaller head\"";"" heart edema\"";"" normal body length\"";"" less satellite cells (unclear) <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: smaller head\"";"" heart edema\"";"" normal body length\"";"" less satellite cells (unclear)<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31518,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: 7/29 short in body length\"";"" lack xanthophores\"";"" satellite cells wildtype <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: 7/29 short in body length\"";"" lack xanthophores\"";"" satellite cells wildtype<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31519,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: short in body length\"";"" small heads\"";"" edema <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: short in body length\"";"" small heads\"";"" edema<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31520,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: flat heads\"";"" short in body length\"";"" satellite cells wildtype <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: flat heads\"";"" short in body length\"";"" satellite cells wildtype<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31521,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: curly down\"";"" satellite cells normal <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: curly down\"";"" satellite cells normal<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31522,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: short in body length\"";"" smaller eyes\"";"" satellite cells wildtype? <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: short in body length\"";"" smaller eyes\"";"" satellite cells wildtype?<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31523,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"01: 3dpf no phenotype; 6dpf: 9/37 short in body length (2/9 with swim bladder)\"";"" 13/37 without swim bladder; 02: 3dpf no phenotype; 6dpf: short in body length\"";"" all without swim bladder\"";"" some curly <b>Details:</b>","Assay: Satellite cells<br>Description: 01: 3dpf no phenotype; 6dpf: 9/37 short in body length (2/9 with swim bladder)\"";"" 13/37 without swim bladder; 02: 3dpf no phenotype; 6dpf: short in body length\"";"" all without swim bladder\"";"" some curly<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31524,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"01: 3dpf short in body length\"";"" 7dpf: 3/12 short in body length\"";"" only 2/12 with swim bladder\"";"" 2/3 curly up; 02: 3dpf short in body length\"";"" 7dpf: 4/17 short in body length\"";"" only 2/17 with swim bladder\"";"" 2/4 curly up\"";"" 1/17 curly but normal in body size <b>Details:</b>","Assay: Satellite cells<br>Description: 01: 3dpf short in body length\"";"" 7dpf: 3/12 short in body length\"";"" only 2/12 with swim bladder\"";"" 2/3 curly up; 02: 3dpf short in body length\"";"" 7dpf: 4/17 short in body length\"";"" only 2/17 with swim bladder\"";"" 2/4 curly up\"";"" 1/17 curly but normal in body size<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31525,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: short in body length; 7dpf: 7/23 short in body length\"";"" 3/7 plainly shorter\"";"" 1/these 3 without swim bladder <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: short in body length; 7dpf: 7/23 short in body length\"";"" 3/7 plainly shorter\"";"" 1/these 3 without swim bladder<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31526,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: short in body length; 7dpf: 5/20 short in body length\"";"" 20/20 without swim bladder <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: short in body length; 7dpf: 5/20 short in body length\"";"" 20/20 without swim bladder<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31527,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,"3dpf: no phenotype; 6dpf: 5/20 short in body length\"";"" 1/5 edema? <b>Details:</b>","Assay: Satellite cells<br>Description: 3dpf: no phenotype; 6dpf: 5/20 short in body length\"";"" 1/5 edema?<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31528,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,3dpf: no phenotype; 7dpf: 5/20 curly down <b>Details:</b>,"Assay: Satellite cells<br>Description: 3dpf: no phenotype; 7dpf: 5/20 curly down<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31529,;muscle cell differentiation (abnormal); Protruding-mouth: muscle pioneers decreased number (abnormal); ,3dpf: no phenotype; 7dpf: 5/15 weakly curly-up <b>Details:</b>,"Assay: Satellite cells<br>Description: 3dpf: no phenotype; 7dpf: 5/15 weakly curly-up<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-030918-34"">Sascha Dembski</a> / <a href=""ZFIN_jump?record=ZDB-PERS-060802-6"">Jana Krauss</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31028,;growth (abnormal); Adult: caudal fin bent (abnormal); ,1 fish in 6 with fin bent at amputation plane <b>Details:</b>,"Assay: Regeneration 2<br>Description: 1 fish in 6 with fin bent at amputation plane<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31030,;growth (abnormal); Adult: caudal fin shape (abnormal); ,"1 fish with fin partially regenerated\"";"" not Mendelian inheritance <b>Details:</b>","Assay: Regeneration 2<br>Description: 1 fish with fin partially regenerated\"";"" not Mendelian inheritance<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31031,;growth (abnormal); Adult: caudal fin shape (abnormal); ,possible pigment regeneration phenotype <b>Details:</b>,"Assay: Regeneration 2<br>Description: possible pigment regeneration phenotype<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31032,;growth (abnormal); Adult: caudal fin shape (abnormal); ,10 in 30 fish with variable tail regeneration phenotype <b>Details:</b>,"Assay: Regeneration 2<br>Description: 10 in 30 fish with variable tail regeneration phenotype<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31033,;growth (abnormal); Adult: pigment cells (caudal fin) pattern (abnormal); ,pigment phenotype; one fish with small ventral lobe <b>Details:</b>,"Assay: Regeneration 2<br>Description: pigment phenotype; one fish with small ventral lobe<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31035,;growth (abnormal); Adult: caudal fin shape (abnormal); ,3 fish of 7 with misshapen fins (background) <b>Details:</b>,"Assay: Regeneration 2<br>Description: 3 fish of 7 with misshapen fins (background)<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31036,;growth (abnormal); Adult: caudal fin shape (abnormal); ,8 pigment and fin pattern defects (reg?) of 33 fish <b>Details:</b>,"Assay: Regeneration 2<br>Description: 8 pigment and fin pattern defects (reg?) of 33 fish<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31037,;growth (abnormal); Adult: caudal fin shape (abnormal); ,1 fish in 12 possible regeneration mutant <b>Details:</b>,"Assay: Regeneration 2<br>Description: 1 fish in 12 possible regeneration mutant<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31038,;growth (abnormal); Adult: pigment cells (caudal fin) pattern (abnormal); ,4 fish in 20 with improper pigment regeneration <b>Details:</b>,"Assay: Regeneration 2<br>Description: 4 fish in 20 with improper pigment regeneration<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31052,;growth (abnormal); Adult: caudal fin shape (abnormal); ,2 fish out of 12 with little to no regenerated fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: 2 fish out of 12 with little to no regenerated fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31298,;growth (abnormal); Adult: caudal fin shape (abnormal); ,2 fish in 25 with possible pigment regeneration phenotype <b>Details:</b>,"Assay: Regeneration 2<br>Description: 2 fish in 25 with possible pigment regeneration phenotype<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31299,;growth (abnormal); Adult: caudal fin shape (abnormal); ,3 fish in 20 with possible pigment regeneration phenotype <b>Details:</b>,"Assay: Regeneration 2<br>Description: 3 fish in 20 with possible pigment regeneration phenotype<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31374,;growth (abnormal); Adult: pigment cells (caudal fin) pattern (abnormal); ,pigment variation after amputation plane <b>Details:</b>,"Assay: Regeneration 2<br>Description: pigment variation after amputation plane<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31419,;growth (abnormal); Adult: pigment cells (caudal fin) pattern (abnormal); ,4 fish pigment problem after amputation plane <b>Details:</b>,"Assay: Regeneration 2<br>Description: 4 fish pigment problem after amputation plane<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31420,;growth (abnormal); Adult: caudal fin shape (abnormal); ,1 small fish missing piece of fin <b>Details:</b>,"Assay: Regeneration 2<br>Description: 1 small fish missing piece of fin<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31495,;growth (abnormal); Adult: caudal fin shape (abnormal); ,4 fish with clover-leaf shaped fins after amputation plane in 16 fish <b>Details:</b>,"Assay: Regeneration 2<br>Description: 4 fish with clover-leaf shaped fins after amputation plane in 16 fish<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31496,;growth (abnormal); Adult: pigment cells (caudal fin) pattern (abnormal); ,2 fish of 14 with reduced pigment after amputation plane <b>Details:</b>,"Assay: Regeneration 2<br>Description: 2 fish of 14 with reduced pigment after amputation plane<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31497,;growth (abnormal); Adult: pigment cells (caudal fin) pattern (abnormal); ,3 fish of 28 with reduced pigmentation after amputation plane <b>Details:</b>,"Assay: Regeneration 2<br>Description: 3 fish of 28 with reduced pigmentation after amputation plane<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31498,;growth (abnormal); Adult: pigment cells (caudal fin) pattern (abnormal); ,1 fish of 19 with reduced pigment after amputation plane <b>Details:</b>,"Assay: Regeneration 2<br>Description: 1 fish of 19 with reduced pigment after amputation plane<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
,t31499,;growth (abnormal); Adult: pigment cells (caudal fin) pattern (abnormal); ,4 fish of 11 with reduced pigment after amputation plane <b>Details:</b>,"Assay: Regeneration 2<br>Description: 4 fish of 11 with reduced pigment after amputation plane<br>Submitted by: <a href=""ZFIN_jump?record=ZDB-PERS-040209-3"">Christopher Antos</a>\"";"" <a href=""http://www.zf-models.com/"">ZF-MODELS</a> - Zebrafish Models for Human Development and Disease."
